line,SubStart,SubEnd,Type,longstart,latstart,longend,latend
lne_4002_4003_1,BURNS,SUMMER L,500,-119.0541032,43.5862606,-120.5542012,43.8041334
lne_4202_4204_1,WCASCADE,MERIDIAN,500,-122.1623725,47.4431185,-122.6222791,47.1244608
lne_4003_6101_1,BURNS,MIDPOINT,500,-119.0541032,43.5862606,-114.7420408,44.0682019
lne_1101_1401_2,CORONADO,PALOVRDE,500,-120.8895561,44.53048143,-112.6777087,33.3483711
lne_2401_2501_1,LUGO,SERRANO,500,-117.3422682,34.3672238,-120.654615,35.334974
lne_1301_1402_2,MEAD,WESTWING,500,-112.075042,33.46840412,-112.2473434,33.727797
lne_4005_4102_1,HANFORD,JOHN DAY,500,-119.386667,46.583889,-118.95301,44.4159883
lne_3903_3905_9,TESLA,TABLE MT,500,-121.9447185,37.49263866,-120.4331607,37.98493951
lne_4203_4204_1,MERIDIAN,WILLAMET,500,-122.6222791,47.1244608,-123.1386021,45.5469616
lne_8001_8002_9,OLINDA,TRACY,500,-117.9002918,33.916475,-121.4260018,37.7395818
lne_1202_1302_1,H ALLEN,NAVAJO,500,-116.419389,38.8026097,-110.1402594,35.4019765
lne_1001_1201_1,FOURCORN,MOENKOPI,500,-111.0937311,34.0489281,-111.2223624,36.1111043
lne_4006_4202_1,BIG EDDY,WCASCADE,500,-123.1622078,45.9320709,-122.1623725,47.4431185
lne_4102_4201_2,HANFORD,NORTH,500,-119.386667,46.583889,-119.80464,47.81276157
lne_4005_6202_1,GARRISON,JOHN DAY,500,-112.81171,46.5232622,-118.95301,44.4159883
lne_2402_2501_1,MIRALOMA,SERRANO,500,-117.5159449,33.9845417,-120.654615,35.334974
lne_4002_4091_1,GRIZZLY1,SUMMER L,500,-120.9182374,44.50086278,-120.5542012,43.8041334
lne_3901_8002_1,LOSBANOS,TRACY,500,-120.8499151,37.0582786,-121.4260018,37.7395818
